name,phone,address,website,google_maps_url,rating,review_count,business_status,primary_type,lead_category,why_relevant,found_via_query,latitude,longitude,place_id
2M Associate,+62 878-0008-0818,"Jl. Sunset Road No.88, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",http://www.2mdesignlab.com/,https://maps.google.com/?cid=717098323395070676&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,31,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6904944,115.17244989999998,ChIJxXbzpGRH0i0R1Mr9MiCl8wk
3mansion Studio,+62 361 8452757,"Jl. Mahendradatta Selatan No.57, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",http://www.3mansionstudio.com/,https://maps.google.com/?cid=6719340137047839023&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,32,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Canggu, Bali",-8.6835038,115.18839659999999,ChIJ29UvSC1H0i0RL9HCCUHkP10
5D Architect Studio Garden,+62 889-8736-8488,"V5H8+MV5 Menyali, Buleleng Regency, Bali Jembatan 5D, Jln Raya Ds. Menyali Bongkang, Menyali, Kec. Sawan, Kabupaten Buleleng, Bali 81171, Indonesia",,https://maps.google.com/?cid=17796661351712457413&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Berawa, Bali",-8.120851199999999,115.16721640000002,ChIJLz7TinSR0S0RxYK-aDVx-vY
ADE BALI ARCHITECT,+62 878-6037-7899,"Jl. Pantai Berawa No.53, Tegalgundul, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,https://maps.google.com/?cid=6066955415997232943&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,39,OPERATIONAL,general_contractor,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Canggu, Bali",-8.6605954,115.1424282,ChIJ5Ymf2E9H0i0RL7elhs4nMlQ
ANALA ARCHITECT,+62 821-4747-4407,"F7F4+F89, Jl. Nyuh Bulan, Mas, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",https://www.instagram.com/anala.architect/?hl=id,https://maps.google.com/?cid=9106083066944890711&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Ubud, Bali",-8.5263372,115.2558517,ChIJV1ihlns90i0RVydzpE1OX34
ARFATAMA ARCHITECT BALI,+62 852-9224-9776,"Jl. Cempaka Putih Blk. C, Sembung Gede, Kec. Kerambitan, Kabupaten Tabanan, Bali 82161, Indonesia",https://arfatama.com/,https://maps.google.com/?cid=331876387643276429&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,20,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Umalas, Bali",-8.5310097,115.0977111,ChIJO2efC1A70i0RjTzR8tAPmwQ
ARKE STUDIO,+62 811-3939-992,"Jl. Tegal Sari No.59, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",http://www.wearearke.co/,https://maps.google.com/?cid=8771486369716076957&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,3,OPERATIONAL,general_contractor,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Canggu, Bali",-8.6619003,115.1426883,ChIJpy7BKHZH0i0RnYEbQ2GUunk
ARSSTUDIO/ Arsitek Bali /FBG & SLF Bali,+62 853-3794-1992,"Jalan raya Gunaksa, Dawan, Gunaksa, Kec. Klungkung, Kabupaten Klungkung, Bali 80761, Indonesia",,https://maps.google.com/?cid=12934897990703032614&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,21,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.541956299999999,115.42449970000001,ChIJP4dmcIMR0i0RJqnExTD9gbM
Agora Design Bali | Jasa Arsitektur dan Kontraktor,+62 819-4900-4030,"Jl. Sekar Jepun VI No.107, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia",http://agoradesignbali.com/,https://maps.google.com/?cid=1871448201593871213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,22,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,architecture firm in Bali,-8.6330108,115.25193529999999,ChIJhZwpo5A_0i0RbduLVzm4-Bk
Alas Studio Bali Architecture & Landscape,+62 813-8797-5758,"Jl. Muding Indah XIV No.1B, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80237, Indonesia",,https://maps.google.com/?cid=8658640175267194907&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,11,OPERATIONAL,service,architecture_design,Designs villas; natural partner that brings construction clients,"architect studio in Canggu, Bali",-8.6378039,115.18120629999999,ChIJeUaTFvg_0i0RGyi6LF2rKXg
